genre;id;length;avg l;stdev;stdev pc;amp;amp pc
;9f10780c;316350;26362;5297;0.2009;19839;0.7525
AudioBook;9f107e0e;316800;22628;8026;0.3547;28372;1.2538
;9f10800c;316950;26412;7123;0.2696;24639;0.9328
Trance;9f10850b;317325;28847;2700;0.0936;7735;0.2681
Trance;9f10920c;318300;26525;8212;0.3096;23456;0.8842
Speech;9f10960c;318600;26550;17288;0.6511;65965;2.4845
Hip;9f109c1e;319050;10635;4061;0.3819;20597;1.9367
Psychedelic;9f10a80a;319950;31995;1652;0.0516;6021;0.1881
Sampler;9f10bc0c;321450;26787;2912;0.1087;9310;0.3475
Trance;9f10c70d;322275;24790;4824;0.1946;16312;0.6579
Speech;9f10c80c;322350;26862;6717;0.2500;24471;0.9109
Psychedelic;9f10cd0a;322725;32272;3693;0.1144;11838;0.3668
Electronic;9f10d40c;323250;26937;4516;0.1676;12515;0.4645
Lesung;9f10db0c;323775;26981;6339;0.2349;20043;0.7428
Dance;9f10dc0b;323850;29440;5394;0.1832;20238;0.6874
Euro;9f10f40d;325650;25050;1699;0.0678;7125;0.2844
Audio;9f10fe0b;326400;29672;17157;0.5782;52088;1.7554
Speech;9f11140b;328050;29822;7213;0.2418;24612;0.8252
Techno;9f11180b;328350;29850;5967;0.1999;18727;0.6273
;9f111a5e;328500;3494;446;0.1277;3591;1.0275
Progressive;9f111c0b;328650;25280;19253;0.7615;78433;3.1024
;9f111e0a;328800;32880;17938;0.5455;67268;2.0458
Techno;9f111f0b;328875;29897;3997;0.1336;14449;0.4832
Tech;9f11200b;328950;29904;4027;0.1346;15063;0.5037
Electronic;9f11270b;329475;29952;8234;0.2749;31529;1.0526
AudioBook;9f112b0b;329775;29979;3191;0.1064;10109;0.3371
Electronic;9f11300c;330150;27512;6219;0.2260;22125;0.8041
Pop;9f113d0c;331125;27593;6895;0.2499;20651;0.7483
Speech;9f113e0c;331200;27600;4743;0.1718;16494;0.5976
Speech;9f11410c;331425;27618;8151;0.2951;26685;0.9661
Eurodance;9f11550c;332925;27743;10462;0.3771;50209;1.8097
JPop;9f11560c;333000;27750;18148;0.6540;67088;2.4175
JPop;9f11560d;333000;25615;16665;0.6506;66413;2.5926
AudioBook;9f115863;333150;3365;1221;0.3629;5039;1.4974
House;9f115c0a;333450;33345;1924;0.0577;5658;0.1696
Electronic;9f11630d;333975;25690;10039;0.3907;34521;1.3437
Disco;9f11670c;334275;27856;2600;0.0933;8604;0.3088
Speech;9f11680c;334350;27862;11050;0.3966;38575;1.3844
Pop;9f117a0c;335700;27975;5364;0.1917;20497;0.7326
Trance;9f117d0d;335925;25840;3606;0.1395;12848;0.4972
Eurodance;9f11830b;336375;30579;11691;0.3823;52580;1.7194
Afrobeat;9f118d0a;337125;33712;6115;0.1814;23363;0.6930
Rave;9f11920b;337500;30681;3860;0.1258;11869;0.3868
AudioBook;9f11920c;337500;28125;3039;0.1080;9741;0.3463
AudioBook;9f11990b;338025;30729;3906;0.1271;13073;0.4254
Techno;9f119b0b;338175;30743;6010;0.1955;23201;0.7546
Dance;9f11a40e;338850;24203;9142;0.3777;25925;1.0711
UnClassifiable;9f11ac0b;339450;30859;11485;0.3721;37221;1.2061
Electronic;9f11b10c;339825;28318;9217;0.3254;38930;1.3747
AudioBook;9f11b80c;340350;28362;4138;0.1459;16773;0.5913
Trance;9f11b90d;340425;26186;7013;0.2678;26147;0.9984
Rock;9f11d00b;342150;31104;14926;0.4798;47359;1.5225
Psychedelic;9f11d50b;342525;31138;3622;0.1163;12017;0.3859
AudioBook;9f11e30c;343575;28631;9966;0.3480;40098;1.4004
audiobook;9f11e40a;343650;34365;4054;0.1179;12959;0.3770
Future;9f11e50b;343725;31247;4381;0.1402;15990;0.5117
Club;9f11ed0b;344325;31302;4743;0.1515;17632;0.5632
Techno;9f11f10c;344625;28718;5785;0.2014;21168;0.7370
Electronic;9f11f40b;344850;31350;9028;0.2879;38712;1.2348
Dance;9f11fd0b;345675;31425;5346;0.1701;16260;0.5174
AudioBook;9f12140d;347250;26711;7404;0.2772;27907;1.0447
AudioBook;9f12190c;347625;28968;6582;0.2272;20341;0.7021
